key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_ab790f493f23f57f029f,ml-100k,slim-u,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.1,27
rk_1efbb926203233a01f6d,ml-100k,slim-u,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.25,68
rk_834d0491bcc9688baf63,ml-100k,slim-u,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.5,136
rk_a99d97ac5e170c44bedf,ml-100k,slim-u,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.75,205
rk_499851e7de0f6d25be83,ml-100k,slim-u,cfair_influencer_nuke_favorite,gender,f,m,10,,,1.0,273
rk_fb56f88dfd9d4809eb8a,ml-100k,svd,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.1,27
rk_8cb62c120fcade15084e,ml-100k,svd,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.25,68
rk_12e2cf79b61f89e63c0e,ml-100k,svd,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.5,136
rk_06ba21cb70608335b144,ml-100k,svd,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.75,205
rk_481f00e41284461932f2,ml-100k,svd,cfair_influencer_nuke_favorite,gender,f,m,10,,,1.0,273
rk_5b74f95d51fcffdb3730,ml-100k,nmf,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.1,27
rk_46a9ff6b73187b165974,ml-100k,nmf,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.25,68
rk_2259b99632ed0efa7033,ml-100k,nmf,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.5,136
rk_ba3e663d0af579021655,ml-100k,nmf,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.75,205
rk_7867d100aa7c26fc20f1,ml-100k,nmf,cfair_influencer_nuke_favorite,gender,f,m,10,,,1.0,273
rk_187596b0ee5614b2ad4e,ml-100k,bnslim-u-gender,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.1,27
rk_c15892c63f739645e4e8,ml-100k,bnslim-u-gender,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.25,68
rk_28514d656b341460868a,ml-100k,bnslim-u-gender,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.5,136
rk_4b60583fe7163d39e2bf,ml-100k,bnslim-u-gender,cfair_influencer_nuke_favorite,gender,f,m,10,,,0.75,205
rk_c11db3b1afbcc35ef70d,ml-100k,bnslim-u-gender,cfair_influencer_nuke_favorite,gender,f,m,10,,,1.0,273
rk_394668bbef4bd9fe3c55,ml-100k,ease-i,cfair_influencer_nuke_favorite,age,y,o,10,,,0.1,67
rk_28d43036045eaf1e9fda,ml-100k,ease-i,cfair_influencer_nuke_favorite,age,y,o,10,,,0.25,168
rk_d63f2107dad91fa6feea,ml-100k,ease-i,cfair_influencer_nuke_favorite,age,y,o,10,,,0.5,336
rk_6b9752657487ab51a327,ml-100k,ease-i,cfair_influencer_nuke_favorite,age,y,o,10,,,0.75,503
rk_58baa542c4313375ee4b,ml-100k,ease-i,cfair_influencer_nuke_favorite,age,y,o,10,,,1.0,671
rk_96dacafdd71c59814200,ml-100k,ease-u,cfair_influencer_nuke_favorite,age,y,o,10,,,0.1,67
rk_93efa8d1462beebc155d,ml-100k,ease-u,cfair_influencer_nuke_favorite,age,y,o,10,,,0.25,168
rk_476d1481895c98abf793,ml-100k,ease-u,cfair_influencer_nuke_favorite,age,y,o,10,,,0.5,336
rk_3372030a5312bdafdf22,ml-100k,ease-u,cfair_influencer_nuke_favorite,age,y,o,10,,,0.75,503
rk_c92891def007b1205ba2,ml-100k,ease-u,cfair_influencer_nuke_favorite,age,y,o,10,,,1.0,671
rk_5ab6aa889046fd8761cb,ml-100k,slim-i,cfair_influencer_nuke_favorite,age,y,o,10,,,0.1,67
rk_501a584c75c147c04cfe,ml-100k,slim-i,cfair_influencer_nuke_favorite,age,y,o,10,,,0.25,168
rk_8048e5589951178e15af,ml-100k,slim-i,cfair_influencer_nuke_favorite,age,y,o,10,,,0.5,336
rk_d6f9b8cb90b3a0182ffc,ml-100k,slim-i,cfair_influencer_nuke_favorite,age,y,o,10,,,0.75,503
rk_fbdaef59c1ae0329a0fd,ml-100k,slim-i,cfair_influencer_nuke_favorite,age,y,o,10,,,1.0,671
rk_3422839a936bcce2e092,ml-100k,slim-u,cfair_influencer_nuke_favorite,age,y,o,10,,,0.1,67
rk_f97e85ec384956eeb1c4,ml-100k,slim-u,cfair_influencer_nuke_favorite,age,y,o,10,,,0.25,168
rk_d83fd967d24523205c01,ml-100k,slim-u,cfair_influencer_nuke_favorite,age,y,o,10,,,0.5,336
rk_8954b8a4c6c42c675ea7,ml-100k,slim-u,cfair_influencer_nuke_favorite,age,y,o,10,,,0.75,503
rk_5ceab8c0d8287cff5072,ml-100k,slim-u,cfair_influencer_nuke_favorite,age,y,o,10,,,1.0,671
rk_ffe117e7b0c012dbe626,ml-100k,svd,cfair_influencer_nuke_favorite,age,y,o,10,,,0.1,67
rk_bff17f5e4be25c2f9907,ml-100k,svd,cfair_influencer_nuke_favorite,age,y,o,10,,,0.25,168
rk_10cbc1b2680342931e62,ml-100k,svd,cfair_influencer_nuke_favorite,age,y,o,10,,,0.5,336
rk_296d9e22b2b5dd3594f5,ml-100k,svd,cfair_influencer_nuke_favorite,age,y,o,10,,,0.75,503
rk_f1c577e5bc7f48120c6d,ml-100k,svd,cfair_influencer_nuke_favorite,age,y,o,10,,,1.0,671
rk_4c461265b8a5c6f7ab37,ml-100k,mf,cfair_influencer_nuke_favorite,age,y,o,10,,,0.1,67
rk_b54c897a228a80fe2f84,ml-100k,mf,cfair_influencer_nuke_favorite,age,y,o,10,,,0.25,168
rk_ceeabadb727203bc8221,ml-100k,mf,cfair_influencer_nuke_favorite,age,y,o,10,,,0.5,336
rk_4e1499665ccd8bedec43,ml-100k,mf,cfair_influencer_nuke_favorite,age,y,o,10,,,0.75,503
rk_66ab33d9302d5931aef5,ml-100k,mf,cfair_influencer_nuke_favorite,age,y,o,10,,,1.0,671
rk_28b171134e42e40185ac,ml-100k,nmf,cfair_influencer_nuke_favorite,age,y,o,10,,,0.1,67
