dataset,model,model_kind,attack_id,attack,c_fairness,p_value,significant_p_0_05,p_value_bh_all,significant_bh_all,included_in_table
lastfm-1k,svd,base,cfair_sampling_push_random,Sampling,0.9616279927018706,0.581319174984604,False,0.8436861484766094,False,False
lastfm-1k,svd,base,cfair_influencer_top1_push_random,Top-1,0.9952097207097412,0.8986980460547837,False,0.9768457022334605,False,False
lastfm-1k,svd,base,cfair_influencer_top5_push_random,Top-5,0.9446592148894912,0.2221827140707077,False,0.6227365809330841,False,False
lastfm-1k,svd,base,cfair_influencer_top10_push_random,Top-10,0.954449771729104,0.3167295870589403,False,0.7235452897473331,False,False
ftky,bnslim-u-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.7660191302223917,9.102552452481488e-12,True,1.4791647735282417e-09,True,True
ftky,bnslim-u-gender,fair,cfair_sampling_push_random,Sampling,0.9070490604541864,0.0017179184070784,True,0.06203594247783111,False,True
ftky,bnslim-u-gender,fair,cfair_influencer_top1_push_random,Top-1,0.9504865707258692,0.4616528186478772,False,0.8014811799214844,False,True
ftky,bnslim-u-gender,fair,cfair_influencer_top5_push_random,Top-5,0.9357381953996932,0.1503844669545008,False,0.5255371157012124,False,True
ftky,bnslim-u-gender,fair,cfair_influencer_top10_push_random,Top-10,0.917571762196691,0.0455180506548945,True,0.3061285748794156,False,True
ftky,ease-i,base,cfair_influencer_push_random,C-Fair Influencer,0.923982416628052,0.0413167588308455,True,0.3061285748794156,False,True
