key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_6c8fe12c7aedbf1be0b0,ml-100k,mf-value-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.5,335
rk_6cecabb57d17a7887dce,ml-100k,mf-value-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.75,502
rk_b7970ed3be551aaebc1c,ml-100k,mf-value-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,1.0,670
rk_d5ad408e574e3a5fae36,ml-100k,mf-absolute-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.1,67
rk_6ee305d04661b2f849b5,ml-100k,mf-absolute-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.25,168
rk_1d7bfb4b0d2b745226ba,ml-100k,mf-absolute-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.5,335
rk_d1705ee1acc95413de02,ml-100k,mf-absolute-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.75,502
rk_309c4d1ad8edfbebb909,ml-100k,mf-absolute-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,1.0,670
rk_0798c3b5e882b7697c4f,ml-100k,mf-under-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.1,67
rk_1c4006b4f6f272669f0a,ml-100k,mf-under-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.25,168
rk_19e64c87b49cb912ea58,ml-100k,mf-under-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.5,335
rk_292e81b37bffd62fc696,ml-100k,mf-under-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.75,502
rk_6c776255b6393f8d7101,ml-100k,mf-under-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,1.0,670
rk_e195d661d8b187159023,ml-100k,mf-over-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.1,67
rk_f6bb519e7998690a28f1,ml-100k,mf-over-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.25,168
rk_9fd84cd2cc17ed9e5885,ml-100k,mf-over-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.5,335
rk_5094c6d24bb50af71a7c,ml-100k,mf-over-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,0.75,502
rk_9fcee5f9043b5eca6b69,ml-100k,mf-over-gender,cfair_reverse_favorite_nuke_favorite,gender,m,f,10,79,,1.0,670
rk_7534805645f5c8404e9a,ml-100k,ease-i,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.1,67
rk_6e88ba565f2ab91886dd,ml-100k,ease-i,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.25,168
rk_225b2e7ce34510476f8f,ml-100k,ease-i,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.5,336
rk_df2740e15c686e6e6444,ml-100k,ease-i,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.75,503
