key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_32cdb72b27dfb90f5562,ml-100k,slim-u,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.1,27
rk_07f821cfa7d6fa236e55,ml-100k,slim-u,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.25,68
rk_4b667ad15b53d833a299,ml-100k,slim-u,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.5,136
rk_122d701d567107081b90,ml-100k,slim-u,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.75,205
rk_bf4e1e250e2d6185e993,ml-100k,slim-u,cfair_influencer_push_least_favorite,gender,f,m,10,,,1.0,273
rk_6ada1c41a29fc4df3eb0,ml-100k,svd,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.1,27
rk_84910fd41bf7496a65f1,ml-100k,svd,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.25,68
rk_b1ddaadca05cdb627abe,ml-100k,svd,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.5,136
rk_01934f96d783727e30e5,ml-100k,svd,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.75,205
rk_267b5e94ae4891db9dd3,ml-100k,svd,cfair_influencer_push_least_favorite,gender,f,m,10,,,1.0,273
rk_aab0eeeb27e17e34d43b,ml-100k,nmf,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.1,27
rk_aa99cb54d40061820f36,ml-100k,nmf,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.25,68
rk_c22b6ae02b6082d3cb3a,ml-100k,nmf,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.5,136
rk_03872e48ea0e3e46396a,ml-100k,nmf,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.75,205
rk_dd6eefe5bcef56d8474b,ml-100k,nmf,cfair_influencer_push_least_favorite,gender,f,m,10,,,1.0,273
rk_9fec07e483a9c9a5b285,ml-100k,bnslim-u-gender,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.1,27
rk_6ea17d4748119361bf0c,ml-100k,bnslim-u-gender,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.25,68
rk_d481c8bb5321f8a9c5ca,ml-100k,bnslim-u-gender,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.5,136
rk_f7863e5a809f5d127691,ml-100k,bnslim-u-gender,cfair_influencer_push_least_favorite,gender,f,m,10,,,0.75,205
rk_8afc6f6a1384f1468398,ml-100k,bnslim-u-gender,cfair_influencer_push_least_favorite,gender,f,m,10,,,1.0,273
rk_b7f488a65025f8a2d02b,ml-100k,ease-i,cfair_influencer_push_least_favorite,age,y,o,10,,,0.1,67
rk_25b58d21da449b74fa30,ml-100k,ease-i,cfair_influencer_push_least_favorite,age,y,o,10,,,0.25,168
rk_e4782d37d09c611c2116,ml-100k,ease-i,cfair_influencer_push_least_favorite,age,y,o,10,,,0.5,336
rk_10adcc29f39edf05b367,ml-100k,ease-i,cfair_influencer_push_least_favorite,age,y,o,10,,,0.75,503
rk_3aeba5b90b37e22f4a06,ml-100k,ease-i,cfair_influencer_push_least_favorite,age,y,o,10,,,1.0,671
rk_bd0d5865e3bd5447265b,ml-100k,ease-u,cfair_influencer_push_least_favorite,age,y,o,10,,,0.1,67
rk_5835a7164e1ffc0e61f3,ml-100k,ease-u,cfair_influencer_push_least_favorite,age,y,o,10,,,0.25,168
rk_986e06ed419b4769bd77,ml-100k,ease-u,cfair_influencer_push_least_favorite,age,y,o,10,,,0.5,336
rk_64175a8ce39a42627141,ml-100k,ease-u,cfair_influencer_push_least_favorite,age,y,o,10,,,0.75,503
rk_a5f3d63d7693ae0e8d6c,ml-100k,ease-u,cfair_influencer_push_least_favorite,age,y,o,10,,,1.0,671
rk_a593d6f78cb09d11fb46,ml-100k,slim-i,cfair_influencer_push_least_favorite,age,y,o,10,,,0.1,67
rk_77b9bba2321de176a529,ml-100k,slim-i,cfair_influencer_push_least_favorite,age,y,o,10,,,0.25,168
rk_94cf62c93bd1e46aac12,ml-100k,slim-i,cfair_influencer_push_least_favorite,age,y,o,10,,,0.5,336
rk_57dd7ee9d3d77d4ccb7b,ml-100k,slim-i,cfair_influencer_push_least_favorite,age,y,o,10,,,0.75,503
rk_0a5e3ddf819a56dbc8f6,ml-100k,slim-i,cfair_influencer_push_least_favorite,age,y,o,10,,,1.0,671
rk_4d05b828bfd7be44844a,ml-100k,slim-u,cfair_influencer_push_least_favorite,age,y,o,10,,,0.1,67
rk_86946d8e75fc2b251294,ml-100k,slim-u,cfair_influencer_push_least_favorite,age,y,o,10,,,0.25,168
rk_8c913c1ba08e13cbe931,ml-100k,slim-u,cfair_influencer_push_least_favorite,age,y,o,10,,,0.5,336
