dataset,attack_id,model,model_kind,p_value,significant_uncorrected,p_value_bh,significant_bh
ml-1m,reverse_bandwagon,ease-u,base,0.5440702396687648,False,0.9867541411800274,False
ml-1m,reverse_bandwagon,slim-i,base,0.5824714131671855,False,0.9867541411800274,False
ml-1m,reverse_bandwagon,slim-u,base,0.1316500716199902,False,0.8510248042948175,False
ml-1m,reverse_bandwagon,svd,base,0.705215119602961,False,0.9867541411800274,False
ml-1m,reverse_bandwagon,mf,base,0.9980385183593462,False,1.0,False
ml-1m,reverse_bandwagon,nmf,base,0.958513353834102,False,1.0,False
ml-1m,reverse_bandwagon,bnslim-u-gender,fair,0.551939760583728,False,0.9867541411800274,False
ml-1m,reverse_bandwagon,mf-value-gender,fair,0.130606755840954,False,0.8510248042948175,False
ml-1m,reverse_bandwagon,mf-absolute-gender,fair,0.7669621280532131,False,0.9867541411800274,False
ml-1m,reverse_bandwagon,mf-under-gender,fair,0.9997501742597544,False,1.0,False
ml-1m,reverse_bandwagon,mf-over-gender,fair,0.70856093596884,False,0.9867541411800274,False
ml-1m,reverse_bandwagon,neumf,base,0.5923547949990376,False,0.9867541411800274,False
lastfm-1k,power_user,ease-i,base,0.7161258869960363,False,0.9867541411800274,False
lastfm-1k,power_user,ease-u,base,0.4905800456958852,False,0.9867541411800274,False
lastfm-1k,power_user,slim-i,base,0.4381500869741531,False,0.9867541411800274,False
lastfm-1k,power_user,slim-u,base,0.773217498238205,False,0.9867541411800274,False
lastfm-1k,power_user,svd,base,0.8092410761409674,False,0.9867541411800274,False
lastfm-1k,power_user,mf,base,0.7284954499470744,False,0.9867541411800274,False
lastfm-1k,power_user,nmf,base,0.7380941346516969,False,0.9867541411800274,False
lastfm-1k,power_user,bnslim-u-gender,fair,0.69435448676024,False,0.9867541411800274,False
lastfm-1k,power_user,mf-value-gender,fair,0.5673863627086755,False,0.9867541411800274,False
lastfm-1k,power_user,mf-absolute-gender,fair,0.5754786625467151,False,0.9867541411800274,False
lastfm-1k,power_user,mf-under-gender,fair,0.6186916850664885,False,0.9867541411800274,False
lastfm-1k,power_user,mf-over-gender,fair,0.7927073093281458,False,0.9867541411800274,False
lastfm-1k,power_user,neumf,base,0.969925432297405,False,1.0,False
lastfm-1k,bandwagon,ease-i,base,0.4677766945115894,False,0.9867541411800274,False
lastfm-1k,bandwagon,ease-u,base,0.3992790607695653,False,0.9867541411800274,False
lastfm-1k,bandwagon,slim-i,base,0.8096444235323301,False,0.9867541411800274,False
lastfm-1k,bandwagon,slim-u,base,0.3325874741024899,False,0.9867541411800274,False
lastfm-1k,bandwagon,svd,base,0.1673632079050306,False,0.8510248042948175,False
lastfm-1k,bandwagon,mf,base,0.6245703093533449,False,0.9867541411800274,False
lastfm-1k,bandwagon,nmf,base,0.9411885396138444,False,1.0,False
lastfm-1k,bandwagon,bnslim-u-gender,fair,0.0777957055926239,False,0.8510248042948175,False
lastfm-1k,bandwagon,mf-value-gender,fair,0.6890834038115454,False,0.9867541411800274,False
lastfm-1k,bandwagon,mf-absolute-gender,fair,0.6446435370031669,False,0.9867541411800274,False
lastfm-1k,bandwagon,mf-under-gender,fair,0.7353005905400039,False,0.9867541411800274,False
lastfm-1k,bandwagon,mf-over-gender,fair,0.7759340746405439,False,0.9867541411800274,False
lastfm-1k,bandwagon,neumf,base,0.994437236463382,False,1.0,False
lastfm-1k,reverse_bandwagon,ease-i,base,0.0998972977694056,False,0.8510248042948175,False
lastfm-1k,reverse_bandwagon,ease-u,base,0.3707817238599291,False,0.9867541411800274,False
lastfm-1k,reverse_bandwagon,slim-i,base,0.9782195698555896,False,1.0,False
lastfm-1k,reverse_bandwagon,slim-u,base,0.8075551927713337,False,0.9867541411800274,False
lastfm-1k,reverse_bandwagon,svd,base,0.9500265210927586,False,1.0,False
lastfm-1k,reverse_bandwagon,mf,base,0.0598451485829785,False,0.8510248042948175,False
lastfm-1k,reverse_bandwagon,nmf,base,0.827687339616493,False,0.9937130969962797,False
lastfm-1k,reverse_bandwagon,bnslim-u-gender,fair,0.8898511521203081,False,1.0,False
lastfm-1k,reverse_bandwagon,mf-value-gender,fair,0.2399917367220876,False,0.9867541411800274,False
lastfm-1k,reverse_bandwagon,mf-absolute-gender,fair,0.0604076604343041,False,0.8510248042948175,False
lastfm-1k,reverse_bandwagon,mf-under-gender,fair,0.1086882140973737,False,0.8510248042948175,False
lastfm-1k,reverse_bandwagon,mf-over-gender,fair,0.3359232547709361,False,0.9867541411800274,False
lastfm-1k,reverse_bandwagon,neumf,base,0.9853480223361544,False,1.0,False
ftky,power_user,ease-i,base,0.3000392541609675,False,0.9867541411800274,False
ftky,power_user,ease-u,base,0.9124938207480318,False,1.0,False
ftky,power_user,slim-i,base,0.3336089125601724,False,0.9867541411800274,False
ftky,power_user,slim-u,base,0.6639215162633594,False,0.9867541411800274,False
ftky,power_user,svd,base,0.1014571607874402,False,0.8510248042948175,False
ftky,power_user,mf,base,0.4037766061027319,False,0.9867541411800274,False
ftky,power_user,nmf,base,0.9768578123874352,False,1.0,False
ftky,power_user,bnslim-u-gender,fair,0.3970808401109507,False,0.9867541411800274,False
ftky,power_user,mf-value-gender,fair,0.0411586995923151,True,0.8510248042948175,False
ftky,power_user,mf-absolute-gender,fair,0.0079310033989758,True,0.8510248042948175,False
ftky,power_user,mf-under-gender,fair,0.6326792117973791,False,0.9867541411800274,False
ftky,power_user,mf-over-gender,fair,0.698033060252284,False,0.9867541411800274,False
ftky,power_user,neumf,base,0.7402384637334887,False,0.9867541411800274,False
ftky,bandwagon,ease-i,base,0.4448430943347899,False,0.9867541411800274,False
ftky,bandwagon,ease-u,base,0.9873117001511588,False,1.0,False
ftky,bandwagon,slim-i,base,0.7741634519972138,False,0.9867541411800274,False
ftky,bandwagon,slim-u,base,0.1564796575424254,False,0.8510248042948175,False
ftky,bandwagon,svd,base,0.7600046793552504,False,0.9867541411800274,False
ftky,bandwagon,mf,base,0.4990615142145816,False,0.9867541411800274,False
ftky,bandwagon,nmf,base,0.0872331154577129,False,0.8510248042948175,False
ftky,bandwagon,bnslim-u-gender,fair,0.1199545648607362,False,0.8510248042948175,False
ftky,bandwagon,mf-value-gender,fair,0.245566556026919,False,0.9867541411800274,False
